Bin, X, CDF
608, 0.0016869834271052537, 0.27232882766748834
609, 0.0016897535148344904, 0.2732127730102013
610, 0.0016925236025637272, 0.2740598872969679
611, 0.0016952936902929641, 0.2750174947515736
612, 0.001698063778022201, 0.2757172848145547
613, 0.0017008338657514379, 0.2768590475488923
614, 0.0017036039534806748, 0.277816655003498
615, 0.0017063740412099117, 0.27859010717837185
616, 0.0017091441289391485, 0.2795108835770312
617, 0.0017119142166683854, 0.2805053220875833
618, 0.0017146843043976223, 0.281168281094618
619, 0.0017174543921268592, 0.28179440904570635
620, 0.001720224479856096, 0.28289934072409756
621, 0.001722994567585333, 0.2837832860668105
622, 0.0017257646553145698, 0.2849618798570945
623, 0.0017285347430438067, 0.2856616699200756
624, 0.0017313048307730436, 0.28650878420684217
625, 0.0017340749185022805, 0.28779787116496525
626, 0.0017368450062315171, 0.28864498545173184
627, 0.001739615093960754, 0.2896762550182303
