Bin, X, Count
179, 1.1929628923340618E-4, 0.0
180, 1.19959046395814E-4, 2.0
181, 1.206218035582218E-4, 1.0
182, 1.2128456072062962E-4, 0.0
183, 1.2194731788303743E-4, 1.0
184, 1.2261007504544525E-4, 1.0
185, 1.2327283220785307E-4, 0.0
186, 1.2393558937026086E-4, 2.0
187, 1.2459834653266868E-4, 0.0
188, 1.252611036950765E-4, 1.0
189, 1.2592386085748432E-4, 1.0
190, 1.265866180198921E-4, 0.0
191, 1.2724937518229993E-4, 1.0
192, 1.2791213234470775E-4, 1.0
193, 1.2857488950711554E-4, 2.0
194, 1.2923764666952336E-4, 0.0
195, 1.2990040383193118E-4, 2.0
196, 1.30563160994339E-4, 0.0
197, 1.312259181567468E-4, 0.0
198, 1.318886753191546E-4, 0.0
199, 1.3255143248156243E-4, 1.0
200, 1.3321418964397025E-4, 2.0
201, 1.3387694680637804E-4, 2.0
202, 1.3453970396878586E-4, 4.0
203, 1.3520246113119368E-4, 2.0
204, 1.358652182936015E-4, 2.0
205, 1.365279754560093E-4, 2.0
206, 1.371907326184171E-4, 0.0
207, 1.3785348978082493E-4, 2.0
208, 1.3851624694323272E-4, 1.0
209, 1.3917900410564054E-4, 2.0
210, 1.3984176126804836E-4, 0.0
211, 1.4050451843045618E-4, 2.0
212, 1.4116727559286397E-4, 2.0
213, 1.418300327552718E-4, 1.0
214, 1.424927899176796E-4, 1.0
215, 1.4315554708008743E-4, 2.0
216, 1.4381830424249522E-4, 4.0
217, 1.4448106140490304E-4, 0.0
218, 1.4514381856731086E-4, 3.0
219, 1.4580657572971868E-4, 1.0
220, 1.4646933289212647E-4, 2.0
221, 1.471320900545343E-4, 3.0
222, 1.477948472169421E-4, 3.0
223, 1.484576043793499E-4, 0.0
224, 1.4912036154175772E-4, 1.0
225, 1.4978311870416554E-4, 1.0
226, 1.5044587586657336E-4, 0.0
227, 1.5110863302898115E-4, 2.0
228, 1.5177139019138897E-4, 5.0
229, 1.524341473537968E-4, 0.0
230, 1.530969045162046E-4, 3.0
231, 1.537596616786124E-4, 2.0
232, 1.5442241884102022E-4, 2.0
233, 1.5508517600342804E-4, 1.0
234, 1.5574793316583586E-4, 1.0
235, 1.5641069032824365E-4, 4.0
236, 1.5707344749065147E-4, 3.0
237, 1.577362046530593E-4, 0.0
238, 1.583989618154671E-4, 2.0
239, 1.590617189778749E-4, 3.0
240, 1.5972447614028272E-4, 1.0
241, 1.6038723330269054E-4, 1.0
242, 1.6104999046509833E-4, 4.0
243, 1.6171274762750615E-4, 4.0
244, 1.6237550478991397E-4, 0.0
245, 1.630382619523218E-4, 1.0
246, 1.6370101911472958E-4, 1.0
247, 1.643637762771374E-4, 3.0
248, 1.6502653343954522E-4, 3.0
249, 1.6568929060195304E-4, 0.0
250, 1.6635204776436084E-4, 0.0
251, 1.6701480492676865E-4, 0.0
252, 1.6767756208917647E-4, 0.0
253, 1.683403192515843E-4, 2.0
254, 1.6900307641399209E-4, 1.0
255, 1.696658335763999E-4, 4.0
256, 1.7032859073880772E-4, 1.0
257, 1.7099134790121552E-4, 1.0
258, 1.7165410506362334E-4, 2.0
259, 1.7231686222603115E-4, 2.0
260, 1.7297961938843897E-4, 3.0
261, 1.7364237655084677E-4, 1.0
262, 1.7430513371325459E-4, 2.0
263, 1.749678908756624E-4, 2.0
264, 1.7563064803807022E-4, 1.0
265, 1.7629340520047802E-4, 1.0
266, 1.7695616236288584E-4, 2.0
267, 1.7761891952529366E-4, 0.0
268, 1.7828167668770147E-4, 1.0
269, 1.7894443385010927E-4, 1.0
270, 1.7960719101251709E-4, 2.0
271, 1.802699481749249E-4, 1.0
272, 1.809327053373327E-4, 2.0
273, 1.8159546249974052E-4, 3.0
274, 1.8225821966214834E-4, 0.0
275, 1.8292097682455616E-4, 0.0
276, 1.8358373398696395E-4, 2.0
277, 1.8424649114937177E-4, 2.0
278, 1.849092483117796E-4, 0.0
279, 1.855720054741874E-4, 0.0
280, 1.862347626365952E-4, 2.0
281, 1.8689751979900302E-4, 1.0
282, 1.8756027696141084E-4, 3.0
283, 1.8822303412381866E-4, 2.0
284, 1.8888579128622645E-4, 1.0
285, 1.8954854844863427E-4, 0.0
286, 1.902113056110421E-4, 1.0
287, 1.908740627734499E-4, 2.0
